Species,Specimen ID,Observed FL (inches),FFL mm,GSMFC Margin,Whole Weight g,Whole Weight Gutted g,Macro sex,Edge type PC,Fishing Mode,Fishery,Source Code,Sampling Unit ID,Barcode,Month,Catch Month,Catch Day,Capture Date,State,County Landed,Headboat Area,NMFS Statistical Grid,Gear Code,Gear Name,Gear Group Code,Depth m,Observed TL in,Observed Natural TL mm,Observed FL (cm),Area Landed,GulfSide,DNA Tube,Otolith tube,Standard Length mm,SEAMAP Start Date/Time,SEAMAP End Date/Time,SEAMAP Start Depth,SEAMAP End Depth,PC Coll #,Notes,Capture Date,Catch Year,Ring Count,PC Edge type,Numeric Capture Date,Ring Count+Edge Type (Calender Age),Year Fraction,Year Fraction Check,GS_Edge Type,Annuli,Specimen ID,Final Age,,,,
Lutjanus synagris,2021LS-NC-16,2.36,60,,2.699,,F,,Trawling,FI,UNC,,,Sep,9,10,9/10/2021,NC,Carteret,,,,Trawl,,,,,6,Morehead,Atlantic,,,,,,,,,,9/10/2021,2021,90/365,N/A,N/A,N/A,N/A,N/A,N/A,0.25,2021LS-NC-16,0.24658,,,,
Lutjanus synagris,2021LS-NC-1,,68,,5.05,,F,,Trawling,FI,UNC,,,Nov,11,12,11/12/2020,NC,Carteret,,,,Trawl,,,,,,Morehead,Atlantic,,,,,,,,,,11/12/2020,2020,107/365,N/A,N/A,N/A,N/A,N/A,N/A,0.29,2021LS-NC-1,0.29315,,,,
Lutjanus synagris,2021LS-FSMP-10,7.2,183,3,,,F,,Trawling,FI,SEAMAP,,,Oct,10,25,10/25/2021,FL,UNK,,,,Trawl,,,7.76,197,,,U,,,153,10/25/2021 20:35,10/25/2021 21:05,50.8406386,49.7433614,,,10/25/2021,2021,0,6,44494,0,0.32,121.81793,3,0,2021LS-FSMP-10,0.317590691,,,,
Lutjanus synagris,2021LS-FSMP-11,6.61,168,4,,,F,,Trawling,FI,SEAMAP,,,Oct,10,26,10/26/2021,FL,UNK,,,,Trawl,,,7.09,180,,,U,,,140,10/26/2021 22:48,10/26/2021 23:18,35.4787193,34.5643193,,,10/26/2021,2021,0,6,44495,0,0.32,121.82067,4,0,2021LS-FSMP-11,0.320328542,,,,
Lutjanus synagris,2021LS-FSMP-12,6.46,164,4,,,M,,Trawling,FI,SEAMAP,,,Oct,10,26,10/26/2021,FL,UNK,,,,Trawl,,,6.93,176,,,U,,,136,10/26/2021 22:48,10/26/2021 23:18,35.4787193,34.5643193,,,10/26/2021,2021,0,6,44495,0,0.32,121.82067,4,0,2021LS-FSMP-12,0.320328542,,,,
Lutjanus synagris,2021LS-FSMP-13,5.39,137,3,,,F,,Trawling,FI,SEAMAP,,,Oct,10,26,10/26/2021,FL,UNK,,,,Trawl,,,5.79,147,,,U,,,116,10/26/2021 22:48,10/26/2021 23:18,35.4787193,34.5643193,,,10/26/2021,2021,0,6,44495,0,0.32,121.82067,3,0,2021LS-FSMP-13,0.320328542,,,,
Lutjanus synagris,2021LS-FSMP-33,7.05,179,4,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,7.56,192,,,U,,,147,10/27/2021 22:06,10/27/2021 22:36,29.0779193,27.6148807,,,10/27/2021,2021,0,6,44496,0,0.32,121.82341,4,0,2021LS-FSMP-33,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-15,4.13,105,2,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,4.29,109,,,U,,,85,10/27/2021 0:49,10/27/2021 1:19,29.4436807,28.5292807,,,10/27/2021,2021,0,4,44496,0,0.32,121.82341,2,0,2021LS-FSMP-15,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-16,3.5,89,2,,,M,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,3.62,92,,,U,,,73,10/27/2021 0:49,10/27/2021 1:19,29.4436807,28.5292807,,Assigned sex,10/27/2021,2021,0,4,44496,0,0.32,121.82341,2,0,2021LS-FSMP-16,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-17,3.54,90,2,,,M,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,3.74,95,,,U,,,75,10/27/2021 0:49,10/27/2021 1:19,29.4436807,28.5292807,,Assigned sex,10/27/2021,2021,0,4,44496,0,0.32,121.82341,2,0,2021LS-FSMP-17,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-18,3.9,99,2,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,4.09,104,,,U,,,82,10/27/2021 0:49,10/27/2021 1:19,29.4436807,28.5292807,,,10/27/2021,2021,0,4,44496,0,0.32,121.82341,2,0,2021LS-FSMP-18,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-19,2.95,75,2,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,3.11,79,,,U,,,62,10/27/2021 0:49,10/27/2021 1:19,29.4436807,28.5292807,,Assigned sex,10/27/2021,2021,0,4,44496,0,0.32,121.82341,2,0,2021LS-FSMP-19,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-22,6.14,156,4,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,6.54,166,,,U,,,139,10/27/2021 5:12,10/27/2021 5:42,36.576,36.9417614,,,10/27/2021,2021,0,6,44496,0,0.32,121.82341,4,0,2021LS-FSMP-22,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-24,6.18,157,3,,,M,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,6.46,164,,,U,,,136,10/27/2021 7:30,10/27/2021 8:00,29.0779193,29.0779193,,,10/27/2021,2021,0,6,44496,0,0.32,121.82341,3,0,2021LS-FSMP-24,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-28,6.69,170,4,,,M,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,7.2,183,,,U,,,149,10/27/2021 12:18,10/27/2021 12:48,25.05455965,24.6888,,,10/27/2021,2021,0,6,44496,0,0.32,121.82341,4,0,2021LS-FSMP-28,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-31,6.61,168,3,,,F,,Trawling,FI,SEAMAP,,,Oct,10,27,10/27/2021,FL,UNK,,,,Trawl,,,7.13,181,,,U,,,138,10/27/2021 15:25,10/27/2021 15:55,15.91055965,14.8132807,,,10/27/2021,2021,0,6,44496,0,0.32,121.82341,3,0,2021LS-FSMP-31,0.323066393,,,,
Lutjanus synagris,2021LS-FSMP-35,5.04,128,2,,,F,,Trawling,FI,SEAMAP,,,Oct,10,28,10/28/2021,FL,UNK,,,,Trawl,,,5.28,134,,,U,,,107,10/28/2021 5:21,10/28/2021 5:51,13.35024035,12.8016,,,10/28/2021,2021,0,4,44497,0,0.33,121.82615,2,0,2021LS-FSMP-35,0.325804244,,,,
Lutjanus synagris,2021LS-FSMP-36,5.87,149,2,,,M,,Trawling,FI,SEAMAP,,,Oct,10,28,10/28/2021,FL,UNK,,,,Trawl,,,6.18,157,,,U,,,128,10/28/2021 5:21,10/28/2021 5:51,13.35024035,12.8016,,,10/28/2021,2021,0,4,44497,0,0.33,121.82615,2,0,2021LS-FSMP-36,0.325804244,,,,
Lutjanus synagris,2021LS-FSMP-37,6.18,157,2,,,F,,Trawling,FI,SEAMAP,,,Oct,10,28,10/28/2021,FL,UNK,,,,Trawl,,,6.57,167,,,U,,,133,10/28/2021 5:21,10/28/2021 5:51,13.35024035,12.8016,,,10/28/2021,2021,0,4,44497,0,0.33,121.82615,2,0,2021LS-FSMP-37,0.325804244,,,,
Lutjanus synagris,2021LS-FSMP-38,6.77,172,3,,,M,,Trawling,FI,SEAMAP,,,Oct,10,28,10/28/2021,FL,UNK,,,,Trawl,,,7.24,184,,,U,,,151,10/28/2021 5:21,10/28/2021 5:51,13.35024035,12.8016,,,10/28/2021,2021,0,6,44497,0,0.33,121.82615,3,0,2021LS-FSMP-38,0.325804244,,,,
